Date,Type,Category,Amount,Account,Notes
2025-08-26,Income,Refunds,968.55,Paytm Wallet,Store Return Refund
2025-08-27,Expense,Beauty,2411.84,Credit Card,Salon & Haircut
2025-08-27,Expense,Home,9497.44,ICICI Bank,Furniture Repair
2025-08-27,Expense,Health,2196.68,HDFC Bank,Apollo Pharmacy
2025-08-27,Expense,Shopping,2827.62,Credit Card,Amazon Shopping
2025-08-27,Expense,Home,935.69,HDFC Bank,Home Decor Item
2025-08-28,Expense,Uncategorized,508.54,Cash,Miscellaneous Expense
2025-08-29,Expense,Beauty,1168.11,Cash,Skincare Products
2025-08-29,Expense,Electronics,21087.44,HDFC Bank,Headphones Purchase
2025-08-29,Expense,Health,4623.38,HDFC Bank,Doctor Consultation
2025-08-29,Expense,Food,455.71,HDFC Bank,Dinner at Restaurant
2025-08-30,Expense,Social,852.98,ICICI Bank,Birthday Gift
2025-08-30,Expense,Sport,2064.29,Paytm Wallet,Badminton Racket
2025-08-31,Expense,Education,4683.14,Cash,Certification Fee
2025-08-31,Expense,Health,3574.34,HDFC Bank,Doctor Consultation
2025-09-01,Expense,Home,10438.77,Paytm Wallet,Furniture Repair
2025-09-01,Income,Salary,90000.0,ICICI Bank,Monthly Base Salary
2025-09-01,Income,Sale,736.39,ICICI Bank,Old Laptop Sale
2025-09-02,Expense,Home,3402.59,Cash,Home Decor Item
2025-09-02,Expense,Beauty,2810.66,Credit Card,Salon & Haircut
2025-09-02,Expense,Insurance,11121.25,HDFC Bank,Health Insurance Premium
2025-09-03,Expense,Clothing,1399.65,Paytm Wallet,Myntra Apparel
2025-09-03,Expense,Health,568.31,Paytm Wallet,Apollo Pharmacy
2025-09-04,Expense,Health,574.09,Paytm Wallet,Apollo Pharmacy
2025-09-04,Expense,Home,7364.12,Paytm Wallet,Kitchen Appliances
2025-09-04,Expense,Sport,2324.29,Cash,Sports Shoes
2025-09-05,Expense,Bills,2687.57,HDFC Bank,Electricity & Utility Bills
2025-09-05,Expense,Sport,2276.14,HDFC Bank,Badminton Racket
2025-09-05,Expense,Transportation,292.4,ICICI Bank,Metro SmartCard Topup
2025-09-05,Expense,Social,946.14,ICICI Bank,Party Contribution
2025-09-05,Expense,Shopping,5845.55,Paytm Wallet,Flipkart Purchase
2025-09-06,Expense,Insurance,5297.45,Credit Card,Health Insurance Premium
2025-09-06,Expense,Entertainment,1711.33,ICICI Bank,PVR Movie Pass
2025-09-06,Expense,Subscriptions,1115.8,Cash,YouTube Premium
2025-09-07,Expense,Bills,1866.57,HDFC Bank,Piped Gas Bill
2025-09-07,Income,Sale,4337.51,Paytm Wallet,Old Laptop Sale
2025-09-07,Expense,Travel,3335.2,Credit Card,Flight Ticket Booking
2025-09-07,Expense,Shopping,7385.74,HDFC Bank,Amazon Shopping
2025-09-07,Expense,Subscriptions,993.66,Cash,Netflix Premium
2025-09-08,Expense,Social,739.97,ICICI Bank,Party Contribution
2025-09-08,Expense,Social,3401.13,Cash,Dinner with Friends
2025-09-09,Income,Rental,22492.58,HDFC Bank,Parking Space Rent
2025-09-09,Expense,Telephone,867.82,ICICI Bank,Mobile Prepaid Recharge
2025-09-09,Expense,Telephone,713.65,ICICI Bank,Postpaid Mobile Bill
2025-09-10,Income,Sale,5030.51,Paytm Wallet,Old Laptop Sale
2025-09-10,Expense,Telephone,303.81,Cash,Postpaid Mobile Bill
2025-09-11,Income,Salary,76144.28,ICICI Bank,Monthly Direct Payroll
2025-09-11,Income,Awards,5361.48,ICICI Bank,Hackathon Prize Money
2025-09-11,Expense,Electronics,24385.56,Paytm Wallet,Monitor Keyboard
2025-09-11,Expense,Education,3181.74,Cash,Technical E-Book
2025-09-12,Expense,Tax,8893.07,Paytm Wallet,Income Tax Advance
2025-09-12,Expense,Beauty,2856.65,Credit Card,Skincare Products
2025-09-13,Expense,Subscriptions,887.26,ICICI Bank,Spotify Monthly
2025-09-13,Income,Coupons,433.1,Paytm Wallet,Cashback Coupon Reward
2025-09-14,Expense,Clothing,5058.63,ICICI Bank,Zara Clothing
2025-09-14,Expense,Travel,32077.17,Cash,Weekend Getaway
2025-09-14,Income,Freelance,18656.35,HDFC Bank,Web Dev Freelance
2025-09-14,Expense,Telephone,423.87,Credit Card,Mobile Prepaid Recharge
2025-09-15,Expense,Home,9706.81,ICICI Bank,Home Decor Item
2025-09-15,Income,Salary,74652.12,Paytm Wallet,Monthly Base Salary
2025-09-16,Expense,Entertainment,319.86,Paytm Wallet,PVR Movie Pass
2025-09-16,Expense,Insurance,3040.52,Cash,Health Insurance Premium
2025-09-16,Expense,Travel,34870.07,Credit Card,Weekend Getaway
2025-09-16,Expense,Shopping,1977.29,ICICI Bank,Flipkart Purchase
2025-09-16,Expense,Transportation,866.57,ICICI Bank,Metro SmartCard Topup
2025-09-17,Expense,Telephone,741.7,Credit Card,Postpaid Mobile Bill
2025-09-17,Expense,Transportation,1324.44,ICICI Bank,Ola Taxi
2025-09-18,Expense,Entertainment,1330.57,ICICI Bank,Gaming Purchase
2025-09-18,Expense,Uncategorized,245.13,Credit Card,General Expense
2025-09-18,Expense,Baby,1109.26,Credit Card,Baby Food & Formula
2025-09-18,Expense,Food,1366.41,HDFC Bank,Dinner at Restaurant
2025-09-19,Expense,Social,2453.53,Credit Card,Birthday Gift
2025-09-19,Expense,Health,4987.64,HDFC Bank,Lab Diagnostics
2025-09-19,Expense,Baby,2558.18,Cash,Diapers & Wipes
2025-09-19,Income,Salary,86804.21,Paytm Wallet,Monthly Direct Payroll
2025-09-19,Expense,Health,729.71,Paytm Wallet,Doctor Consultation
2025-09-19,Income,Lottery,2686.38,Paytm Wallet,Scratch Card Cash Win
2025-09-20,Expense,Health,3056.21,Credit Card,Lab Diagnostics
2025-09-22,Income,Salary,82106.93,Paytm Wallet,Monthly Base Salary
2025-09-22,Expense,Travel,33487.76,Credit Card,Hotel Reservation
2025-09-22,Expense,Bills,1210.78,Cash,Piped Gas Bill
2025-09-23,Income,Coupons,77.79,Paytm Wallet,Promo Reward
2025-09-24,Income,Coupons,221.06,Paytm Wallet,Referral Bonus Coupon
2025-09-24,Expense,Uncategorized,184.98,Cash,General Expense
2025-09-24,Expense,Transportation,716.3,Cash,Ola Taxi
2025-09-24,Expense,Health,1671.18,Cash,Lab Diagnostics
2025-09-24,Expense,Sport,2692.69,Cash,Sports Shoes
2025-09-25,Expense,Telephone,240.67,ICICI Bank,Postpaid Mobile Bill
2025-09-25,Expense,Telephone,305.39,HDFC Bank,Postpaid Mobile Bill
2025-09-25,Expense,Clothing,926.93,Paytm Wallet,Myntra Apparel
2025-09-26,Expense,Telephone,691.84,HDFC Bank,Postpaid Mobile Bill
2025-09-26,Expense,Uncategorized,331.74,Credit Card,Cash Withdrawal
2025-09-27,Income,Coupons,301.13,Paytm Wallet,Referral Bonus Coupon
2025-09-27,Expense,Telephone,530.19,Paytm Wallet,Mobile Prepaid Recharge
2025-09-27,Expense,Shopping,2682.15,Credit Card,Amazon Shopping
2025-09-27,Expense,Tax,3536.76,HDFC Bank,Property Tax Payment
2025-09-27,Expense,Beauty,1002.06,ICICI Bank,Spa & Grooming
2025-09-27,Expense,Telephone,923.17,Paytm Wallet,Mobile Prepaid Recharge
2025-09-28,Expense,Baby,1665.0,Paytm Wallet,Baby Food & Formula
2025-09-28,Expense,Home,8180.16,HDFC Bank,Kitchen Appliances
2025-09-28,Expense,Clothing,3225.03,Paytm Wallet,Footwear Store
2025-09-29,Expense,Tax,19369.04,HDFC Bank,Income Tax Advance
2025-09-29,Expense,Social,2327.16,Cash,Dinner with Friends
2025-09-30,Income,Lottery,3863.66,HDFC Bank,Lucky Draw Winner
2025-09-30,Expense,Insurance,7151.18,Credit Card,Health Insurance Premium
2025-09-30,Expense,Shopping,1723.59,Credit Card,Flipkart Purchase
2025-09-30,Income,Rental,23887.93,HDFC Bank,Parking Space Rent
2025-09-30,Expense,Baby,1278.5,Cash,Diapers & Wipes
2025-09-30,Expense,Social,1366.59,HDFC Bank,Party Contribution
2025-10-01,Expense,Shopping,4555.8,HDFC Bank,Amazon Shopping
2025-10-01,Income,Salary,75000.0,ICICI Bank,Monthly Base Salary
2025-10-01,Expense,Food,202.88,ICICI Bank,Dinner at Restaurant
2025-10-02,Expense,Subscriptions,911.96,Cash,Netflix Premium
2025-10-02,Income,Awards,3067.9,Paytm Wallet,Design Contest Award
2025-10-03,Expense,Travel,21593.76,Paytm Wallet,Weekend Getaway
2025-10-03,Expense,Home,6915.07,ICICI Bank,Furniture Repair
2025-10-03,Expense,Entertainment,1688.65,ICICI Bank,PVR Movie Pass
2025-10-04,Income,Lottery,2950.1,HDFC Bank,Scratch Card Cash Win
2025-10-04,Expense,Sport,261.87,Cash,Gym Membership
2025-10-04,Expense,Beauty,911.04,Cash,Skincare Products
2025-10-05,Expense,Entertainment,946.28,HDFC Bank,Gaming Purchase
2025-10-05,Expense,Sport,258.32,Cash,Gym Membership
2025-10-05,Expense,Entertainment,1754.95,ICICI Bank,Concert Event Ticket
2025-10-05,Expense,Clothing,533.68,ICICI Bank,Footwear Store
2025-10-05,Expense,Bills,3841.18,HDFC Bank,Electricity & Utility Bills
2025-10-06,Expense,Health,858.22,ICICI Bank,Apollo Pharmacy
2025-10-06,Expense,Tax,13037.77,Credit Card,Property Tax Payment
2025-10-06,Expense,Electronics,5163.98,HDFC Bank,Headphones Purchase
2025-10-07,Income,Freelance,8818.25,Paytm Wallet,Web Dev Freelance
2025-10-07,Expense,Social,2369.0,ICICI Bank,Birthday Gift
2025-10-07,Expense,Travel,5444.11,HDFC Bank,Flight Ticket Booking
2025-10-08,Income,Investment,16991.72,Paytm Wallet,Crypto Capital Gain
2025-10-08,Expense,Health,2334.73,HDFC Bank,Doctor Consultation
2025-10-08,Expense,Sport,665.58,ICICI Bank,Badminton Racket
2025-10-08,Expense,Food,537.36,Cash,Zomato Order
2025-10-08,Expense,Transportation,589.72,Credit Card,Ola Taxi
2025-10-08,Expense,Car,738.63,Cash,Parking Charges
2025-10-09,Expense,Insurance,11471.09,Cash,Car Insurance Renewal
2025-10-09,Expense,Health,2963.82,Cash,Doctor Consultation
2025-10-09,Expense,Beauty,3257.87,Paytm Wallet,Spa & Grooming
2025-10-09,Expense,Transportation,419.78,Paytm Wallet,Uber Cab Ride
2025-10-09,Expense,Beauty,3096.67,Paytm Wallet,Salon & Haircut
2025-10-10,Expense,Education,4814.85,Paytm Wallet,Technical E-Book
2025-10-11,Expense,Transportation,1411.74,Paytm Wallet,Metro SmartCard Topup
2025-10-12,Expense,Uncategorized,308.59,ICICI Bank,Cash Withdrawal
2025-10-12,Expense,Sport,1232.97,Cash,Badminton Racket
2025-10-12,Expense,Uncategorized,608.12,Cash,General Expense
2025-10-12,Expense,Telephone,857.63,Paytm Wallet,Postpaid Mobile Bill
2025-10-12,Expense,Subscriptions,821.73,Cash,Spotify Monthly
2025-10-13,Expense,Shopping,3926.27,Credit Card,Retail Store
2025-10-13,Expense,Travel,3343.46,ICICI Bank,Weekend Getaway
2025-10-13,Expense,Transportation,774.14,Cash,Metro SmartCard Topup
2025-10-14,Expense,Clothing,5226.02,Cash,Myntra Apparel
2025-10-14,Expense,Subscriptions,1387.77,Cash,Spotify Monthly
2025-10-14,Expense,Baby,1539.54,Credit Card,Baby Food & Formula
2025-10-14,Expense,Clothing,6362.9,HDFC Bank,Footwear Store
2025-10-15,Expense,Clothing,5059.75,Cash,Zara Clothing
2025-10-15,Expense,Home,1874.88,ICICI Bank,Kitchen Appliances
2025-10-15,Income,Refunds,1683.55,HDFC Bank,Flight Cancellation Refund
2025-10-15,Expense,Social,1193.16,ICICI Bank,Dinner with Friends
2025-10-16,Expense,Entertainment,566.0,Credit Card,Concert Event Ticket
2025-10-17,Expense,Social,3146.36,Cash,Party Contribution
2025-10-17,Expense,Shopping,3006.82,Credit Card,Flipkart Purchase
2025-10-17,Expense,Sport,1938.07,Paytm Wallet,Sports Shoes
2025-10-18,Expense,Transportation,551.43,Cash,Uber Cab Ride
2025-10-18,Expense,Beauty,2026.08,ICICI Bank,Spa & Grooming
2025-10-18,Expense,Clothing,2122.9,Credit Card,Footwear Store
2025-10-19,Expense,Tax,2775.61,Paytm Wallet,Property Tax Payment
2025-10-19,Expense,Home,1909.07,HDFC Bank,Furniture Repair
2025-10-19,Expense,Insurance,13686.76,Credit Card,Health Insurance Premium
2025-10-19,Income,Salary,82392.79,HDFC Bank,Monthly Direct Payroll
2025-10-19,Expense,Baby,3810.52,Cash,Baby Toys
2025-10-20,Expense,Bills,669.57,Cash,WiFi Broadband Bill
2025-10-21,Expense,Social,1736.3,Paytm Wallet,Party Contribution
2025-10-21,Expense,Clothing,1554.61,Paytm Wallet,Footwear Store
2025-10-21,Expense,Insurance,8901.08,ICICI Bank,Car Insurance Renewal
2025-10-21,Expense,Subscriptions,941.87,Paytm Wallet,Netflix Premium
2025-10-22,Income,Awards,5773.28,Paytm Wallet,Hackathon Prize Money
2025-10-22,Expense,Sport,3041.39,Credit Card,Sports Shoes
2025-10-22,Expense,Tax,2720.53,Paytm Wallet,Property Tax Payment
2025-10-22,Expense,Telephone,469.84,Cash,Mobile Prepaid Recharge
2025-10-23,Expense,Home,5685.19,Cash,Home Decor Item
2025-10-23,Income,Refunds,2772.55,Paytm Wallet,Flight Cancellation Refund
2025-10-23,Expense,Electronics,12708.67,Paytm Wallet,Gadget Accessory
2025-10-23,Expense,Telephone,434.98,Credit Card,Mobile Prepaid Recharge
2025-10-24,Expense,Education,2173.37,Paytm Wallet,Technical E-Book
2025-10-24,Income,Coupons,386.52,Paytm Wallet,Referral Bonus Coupon
2025-10-24,Expense,Subscriptions,874.13,Paytm Wallet,Spotify Monthly
2025-10-24,Expense,Shopping,4309.53,Paytm Wallet,Retail Store
2025-10-25,Expense,Uncategorized,217.95,Paytm Wallet,General Expense
2025-10-25,Expense,Uncategorized,796.32,Credit Card,Cash Withdrawal
2025-10-25,Income,Grants,16845.56,HDFC Bank,Innovation Award Grant
2025-10-25,Income,Refunds,499.49,HDFC Bank,Store Return Refund
2025-10-26,Expense,Health,4737.85,Cash,Lab Diagnostics
2025-10-26,Expense,Home,5736.33,Paytm Wallet,Home Decor Item
2025-10-26,Expense,Uncategorized,732.38,Paytm Wallet,General Expense
2025-10-27,Expense,Education,4739.96,Credit Card,Technical E-Book
2025-10-28,Expense,Beauty,1584.62,Cash,Skincare Products
2025-10-28,Expense,Health,4603.5,ICICI Bank,Doctor Consultation
2025-10-28,Expense,Social,2110.97,ICICI Bank,Birthday Gift
2025-10-28,Expense,Clothing,3574.42,ICICI Bank,Zara Clothing
2025-10-28,Expense,Entertainment,759.12,ICICI Bank,Concert Event Ticket
2025-10-29,Expense,Travel,1594.99,ICICI Bank,Flight Ticket Booking
2025-10-30,Income,Salary,62626.69,ICICI Bank,Monthly Direct Payroll
2025-10-30,Expense,Subscriptions,647.66,Cash,YouTube Premium
2025-10-30,Expense,Entertainment,2696.03,Credit Card,Gaming Purchase
2025-10-31,Expense,Electronics,9205.91,Cash,Monitor Keyboard
2025-10-31,Expense,Telephone,216.7,Credit Card,Mobile Prepaid Recharge
2025-10-31,Expense,Subscriptions,773.87,Credit Card,ChatGPT Plus
2025-10-31,Expense,Electronics,9224.08,Cash,Gadget Accessory
2025-11-01,Expense,Shopping,7777.01,Paytm Wallet,Retail Store
2025-11-01,Income,Salary,90000.0,ICICI Bank,Monthly Base Salary
2025-11-01,Expense,Health,2642.59,Cash,Doctor Consultation
2025-11-03,Expense,Food,1947.15,Paytm Wallet,Zomato Order
2025-11-03,Expense,Sport,2819.61,Credit Card,Badminton Racket
2025-11-03,Expense,Insurance,6619.92,ICICI Bank,Car Insurance Renewal
2025-11-03,Expense,Insurance,14839.47,Cash,Car Insurance Renewal
2025-11-03,Expense,Food,1585.79,Cash,Dinner at Restaurant
2025-11-03,Expense,Car,7207.01,HDFC Bank,Parking Charges
2025-11-04,Expense,Transportation,765.4,Cash,Metro SmartCard Topup
2025-11-05,Expense,Bills,3054.8,HDFC Bank,Electricity & Utility Bills
2025-11-05,Expense,Tax,8610.66,Paytm Wallet,Property Tax Payment
2025-11-05,Expense,Home,4144.1,Credit Card,Furniture Repair
2025-11-05,Expense,Subscriptions,573.68,Paytm Wallet,YouTube Premium
2025-11-05,Expense,Food,130.61,ICICI Bank,Groceries
2025-11-05,Income,Investment,3782.14,Paytm Wallet,Mutual Fund Returns
2025-11-07,Expense,Beauty,1555.83,ICICI Bank,Spa & Grooming
2025-11-07,Expense,Subscriptions,615.82,Credit Card,ChatGPT Plus
2025-11-07,Expense,Shopping,2342.06,Credit Card,Flipkart Purchase
2025-11-07,Income,Freelance,24575.88,HDFC Bank,Technical Writing Contract
2025-11-08,Expense,Insurance,7812.69,Paytm Wallet,Car Insurance Renewal
2025-11-08,Expense,Subscriptions,476.87,HDFC Bank,YouTube Premium
2025-11-08,Expense,Travel,32287.6,Paytm Wallet,Weekend Getaway
2025-11-08,Expense,Car,6333.44,Credit Card,Car Service & Oil Change
2025-11-08,Expense,Clothing,1716.14,Paytm Wallet,Myntra Apparel
2025-11-09,Income,Refunds,2500.72,ICICI Bank,Flight Cancellation Refund
2025-11-10,Income,Freelance,19103.67,HDFC Bank,Technical Writing Contract
2025-11-10,Income,Sale,13133.93,HDFC Bank,Old Laptop Sale
2025-11-11,Expense,Baby,1127.95,Credit Card,Baby Toys
2025-11-12,Expense,Shopping,5071.77,Cash,Amazon Shopping
2025-11-12,Income,Investment,7844.08,ICICI Bank,Crypto Capital Gain
2025-11-12,Expense,Uncategorized,1355.86,Paytm Wallet,Cash Withdrawal
2025-11-13,Income,Rental,16959.3,Paytm Wallet,Parking Space Rent
2025-11-13,Expense,Sport,2597.98,Paytm Wallet,Sports Shoes
2025-11-13,Income,Awards,9974.55,ICICI Bank,Performance Excellence Award
2025-11-14,Income,Refunds,1680.76,HDFC Bank,Store Return Refund
2025-11-14,Expense,Telephone,255.35,Credit Card,Mobile Prepaid Recharge
2025-11-14,Expense,Car,4432.89,ICICI Bank,Car Service & Oil Change
2025-11-15,Expense,Subscriptions,365.33,Paytm Wallet,ChatGPT Plus
2025-11-15,Income,Sale,10031.5,HDFC Bank,Old Laptop Sale
2025-11-15,Expense,Shopping,4915.05,HDFC Bank,Retail Store
2025-11-15,Expense,Insurance,9947.66,Cash,Health Insurance Premium
2025-11-16,Income,Lottery,3444.96,ICICI Bank,Lucky Draw Winner
2025-11-17,Expense,Electronics,11058.23,Credit Card,Monitor Keyboard
2025-11-17,Expense,Food,485.33,Paytm Wallet,Zomato Order
2025-11-17,Expense,Uncategorized,588.63,HDFC Bank,Miscellaneous Expense
2025-11-18,Expense,Food,946.71,ICICI Bank,Dinner at Restaurant
2025-11-18,Income,Investment,17658.12,ICICI Bank,Mutual Fund Returns
2025-11-18,Expense,Bills,2546.29,HDFC Bank,WiFi Broadband Bill
2025-11-18,Expense,Shopping,7334.28,Credit Card,Amazon Shopping
2025-11-18,Expense,Home,9593.83,ICICI Bank,Kitchen Appliances
2025-11-19,Expense,Education,449.33,Paytm Wallet,Certification Fee
2025-11-19,Expense,Shopping,447.26,ICICI Bank,Amazon Shopping
2025-11-19,Expense,Shopping,1960.04,Credit Card,Amazon Shopping
2025-11-20,Expense,Shopping,7109.86,Cash,Flipkart Purchase
2025-11-20,Expense,Subscriptions,1194.45,Paytm Wallet,Spotify Monthly
2025-11-20,Expense,Telephone,477.13,Credit Card,Postpaid Mobile Bill
2025-11-20,Expense,Beauty,2111.29,HDFC Bank,Spa & Grooming
2025-11-20,Income,Salary,86120.24,HDFC Bank,Monthly Direct Payroll
2025-11-21,Expense,Shopping,3057.89,Credit Card,Amazon Shopping
2025-11-21,Expense,Home,2368.68,Credit Card,Furniture Repair
2025-11-21,Expense,Sport,732.69,Credit Card,Gym Membership
2025-11-21,Expense,Subscriptions,558.45,HDFC Bank,ChatGPT Plus
2025-11-22,Expense,Insurance,4332.74,Paytm Wallet,Health Insurance Premium
2025-11-23,Expense,Telephone,807.39,ICICI Bank,Mobile Prepaid Recharge
2025-11-23,Expense,Tax,5678.67,Credit Card,Income Tax Advance
2025-11-23,Expense,Shopping,4687.38,Cash,Amazon Shopping
2025-11-24,Expense,Education,3374.46,HDFC Bank,Certification Fee
2025-11-24,Expense,Shopping,4150.6,HDFC Bank,Amazon Shopping
2025-11-24,Expense,Uncategorized,439.99,Credit Card,General Expense
2025-11-25,Expense,Clothing,6174.51,Cash,Zara Clothing
2025-11-25,Income,Sale,2709.54,ICICI Bank,Old Laptop Sale
2025-11-25,Expense,Bills,2253.38,Cash,Piped Gas Bill
2025-11-26,Expense,Clothing,1569.49,Cash,Footwear Store
2025-11-27,Expense,Food,1070.17,HDFC Bank,Dinner at Restaurant
2025-11-29,Expense,Shopping,7452.34,ICICI Bank,Flipkart Purchase
2025-11-29,Expense,Subscriptions,628.78,HDFC Bank,Netflix Premium
2025-11-30,Expense,Car,3152.59,Cash,Parking Charges
2025-11-30,Expense,Health,3495.73,ICICI Bank,Lab Diagnostics
2025-11-30,Expense,Transportation,1058.57,Paytm Wallet,Metro SmartCard Topup
2025-12-01,Income,Grants,37082.7,Paytm Wallet,Startup Seed Grant
2025-12-01,Income,Salary,69121.57,Paytm Wallet,Monthly Base Salary
2025-12-01,Expense,Uncategorized,1292.04,ICICI Bank,Miscellaneous Expense
2025-12-01,Expense,Food,664.16,HDFC Bank,Swiggy Food Delivery
2025-12-01,Income,Salary,75000.0,ICICI Bank,Monthly Base Salary
2025-12-01,Expense,Transportation,796.58,Credit Card,Uber Cab Ride
2025-12-02,Expense,Telephone,415.91,ICICI Bank,Postpaid Mobile Bill
2025-12-02,Expense,Clothing,6566.19,ICICI Bank,Zara Clothing
2025-12-04,Expense,Home,9618.4,Cash,Home Decor Item
2025-12-05,Expense,Shopping,3032.0,ICICI Bank,Amazon Shopping
2025-12-05,Expense,Subscriptions,236.73,Cash,ChatGPT Plus
2025-12-05,Expense,Bills,2546.59,HDFC Bank,Electricity & Utility Bills
2025-12-05,Expense,Subscriptions,199.89,ICICI Bank,Spotify Monthly
2025-12-06,Expense,Food,234.6,Cash,Zomato Order
2025-12-06,Expense,Education,735.36,HDFC Bank,Certification Fee
2025-12-06,Expense,Sport,1528.7,ICICI Bank,Gym Membership
2025-12-06,Expense,Electronics,7458.01,Paytm Wallet,Monitor Keyboard
2025-12-07,Expense,Health,2218.27,Credit Card,Doctor Consultation
2025-12-08,Expense,Beauty,530.65,Cash,Skincare Products
2025-12-08,Income,Coupons,257.65,Paytm Wallet,Cashback Coupon Reward
2025-12-09,Expense,Baby,462.94,ICICI Bank,Diapers & Wipes
2025-12-11,Income,Salary,74456.99,ICICI Bank,Monthly Base Salary
2025-12-11,Expense,Uncategorized,358.23,Cash,General Expense
2025-12-11,Expense,Beauty,3213.66,Cash,Salon & Haircut
2025-12-13,Expense,Entertainment,2458.38,HDFC Bank,PVR Movie Pass
2025-12-13,Expense,Bills,2018.7,HDFC Bank,Piped Gas Bill
2025-12-13,Expense,Bills,1263.34,HDFC Bank,WiFi Broadband Bill
2025-12-14,Expense,Insurance,13881.74,Credit Card,Health Insurance Premium
2025-12-15,Expense,Transportation,1424.67,Cash,Uber Cab Ride
2025-12-15,Expense,Bills,3098.99,Cash,Piped Gas Bill
2025-12-15,Expense,Travel,16813.31,Cash,Flight Ticket Booking
2025-12-15,Expense,Health,2027.18,Credit Card,Lab Diagnostics
2025-12-16,Income,Grants,15314.34,Paytm Wallet,Research Grant
2025-12-16,Expense,Electronics,10001.51,Credit Card,Gadget Accessory
2025-12-16,Expense,Travel,16444.46,Paytm Wallet,Hotel Reservation
2025-12-16,Expense,Clothing,5149.04,HDFC Bank,Myntra Apparel
2025-12-16,Income,Sale,6359.43,Paytm Wallet,Used Furniture Sale
2025-12-17,Expense,Sport,2790.06,HDFC Bank,Sports Shoes
2025-12-18,Expense,Subscriptions,734.59,HDFC Bank,YouTube Premium
2025-12-19,Expense,Telephone,409.19,Paytm Wallet,Postpaid Mobile Bill
2025-12-19,Income,Investment,7337.82,Paytm Wallet,Stock Dividend Credit
2025-12-19,Expense,Shopping,4068.83,Credit Card,Retail Store
2025-12-20,Expense,Shopping,5487.47,HDFC Bank,Flipkart Purchase
2025-12-20,Expense,Insurance,6057.2,Cash,Health Insurance Premium
2025-12-20,Expense,Telephone,834.88,Credit Card,Postpaid Mobile Bill
2025-12-20,Income,Freelance,20896.51,Paytm Wallet,Technical Writing Contract
2025-12-20,Expense,Health,641.14,Paytm Wallet,Doctor Consultation
2025-12-20,Expense,Insurance,5336.55,HDFC Bank,Health Insurance Premium
2025-12-20,Expense,Insurance,4162.4,Paytm Wallet,Health Insurance Premium
2025-12-21,Expense,Baby,751.26,ICICI Bank,Baby Toys
2025-12-21,Expense,Sport,3353.94,Credit Card,Sports Shoes
2025-12-23,Expense,Social,305.41,ICICI Bank,Party Contribution
2025-12-24,Expense,Clothing,4067.23,Paytm Wallet,Footwear Store
2025-12-24,Expense,Health,318.59,Credit Card,Lab Diagnostics
2025-12-24,Income,Rental,24510.76,Paytm Wallet,Parking Space Rent
2025-12-24,Expense,Baby,2438.55,Paytm Wallet,Diapers & Wipes
2025-12-25,Expense,Travel,24989.66,Paytm Wallet,Hotel Reservation
2025-12-26,Expense,Entertainment,373.95,Cash,PVR Movie Pass
2025-12-26,Expense,Electronics,24912.76,Cash,Monitor Keyboard
2025-12-26,Expense,Baby,300.34,Credit Card,Diapers & Wipes
2025-12-26,Income,Freelance,3683.81,ICICI Bank,UI/UX Design Consulting
